;;sentence;target_word;sense
10620797;I'm Mrs. Schneider's girl.;Ech sinn der Madame Schneider hiert Meedchen.;Meedchen;1
LOD;What a lovely girl!;Wat ass dat e léift Meedchen!;Meedchen;1
LOD;He married a rich girl.;Hie bestit e räicht Meedchen.;Meedchen;1
LOD;My uncle has over 100 acres of land.;Mäi Monni huet iwwer 100 Hektar Land.;Land;2
3286855;You've done nothing wrong.;Du hues näischt falsch gemaach.;FALSCH;2
LOD;We got on the wrong bus at the station.;Mir sinn op der Gare an de falsche Bus geklommen.;FALSCH;2
LOD;Here you are wrong!;Hei sidd Dir falsch!;FALSCH;2
LOD;You are in the wrong place here.;Hei sidd Dir op der falscher Plaz.;FALSCH;2
LOD;He made a wrong move.;Hien huet eng falsch Beweegung gemaach.;FALSCH;2
4419624;Mary is my wife.;D'Mary ass meng Fra.;Fra;2
8873680;My wife is a Luxembourger.;Meng Fra ass Lëtzebuergerin.;Fra;2
10351715;I'm a veterinarian and my wife is a secretary.;Ech sinn Déierendokter a meng Fra ass Sekretärin.;Fra;2
1898100;This is my wife.;Ech presentéieren Iech meng Fra.;Fra;2
7580714;She is my wife.;Si ass meng Fra.;Fra;2
1487674;How is your wife doing?;Wéi geet et denger Fra?;Fra;2
LOD;My boss has been married to his wife for thirty years.;Mäi Patron ass zënter drësseg Joer mat senger Fra bestuet.;Fra;2
LOD;He divorced his wife.;Hien huet sech vun senger Fra scheede gelooss.;Fra;2
LOD;I have a wife and children.;Ech hu Fra a Kanner.;Fra;2
LOD;;Et fënnt een d'Produkt ënner zwee verschiddenen Nimm.;Numm;2
LOD;;Ech hunn den Numm vun der Strooss opgeschriwwen.;Numm;2
8493168;My daughter has a dental appointment tomorrow.;Mäi Meedchen huet muer Rendez-vous beim Zänndokter.;Meedchen;2
4493605;Tom and Mary have a daughter.;Tom a Mary hunn e Meedchen.;Meedchen;2
10242504;I am the daughter of Madame Schneider.;Ech sinn der Madame Schneider hiert Meedchen.;Meedchen;2
10620823;My daughter has an appointment with the dentist tomorrow.;Mäi Meedchen huet muer Rendez-vous beim Zänndokter.;Meedchen;2
LOD;The baker's daughter is getting married next week.;Dem Bäcker säi Meedche gëtt déi aner Woch bestuet.;Meedchen;2
LOD;His little girl is a real babe.;Säi klengt Meedchen ass eng richteg Babbel.;Meedchen;2
LOD;After four days at sea we were glad to see land.;No véier Deeg um Mier ware mer frou, Land ze gesinn.;Land;3
LOD;The passengers disembarked at the port.;D'Passagéier sinn am Hafen u Land gaangen.;Land;3
LOD;How can one be so wrong!;Wéi kann een nëmmen esou falsch sinn!;FALSCH;3
LOD;He is a fake dog!;Hien ass e falschen Hond!;FALSCH;3
LOD;Don't get your hopes up!;Maach der keng falsch Hoffnungen!;FALSCH;4
LOD;It was a false alarm.;Et war falschen Alarm.;FALSCH;4
LOD;Since his accident, the young man has had false teeth.;Zënter sengem Accident huet dee jonke Mann falsch Zänn.;FALSCH;5
LOD;From time to time, false banknotes appear.;Vun Zäit zu Zäit dauche falsch Geldschäiner op.;FALSCH;5
